timestamp,elapsed_seconds,cpu_percent,ram_used_gb,ram_percent
2026-04-15T17:02:49.882008,1.0,59.2,10.95,93.4
2026-04-15T17:02:50.884313,2.0,50.3,10.96,93.4
2026-04-15T17:02:51.887433,3.0,47.2,10.97,93.5
2026-04-15T17:02:52.890221,4.0,56.1,10.97,93.5
2026-04-15T17:02:53.893765,5.0,56.8,10.97,93.5
2026-04-15T17:02:54.896521,6.0,46.5,10.97,93.5
2026-04-15T17:02:55.898470,7.0,56.7,10.97,93.5
2026-04-15T17:02:56.901539,8.0,74.7,10.97,93.5
2026-04-15T17:02:57.904837,9.0,58.7,10.99,93.7
2026-04-15T17:02:58.907636,10.0,64.3,10.99,93.7
2026-04-15T17:02:59.911950,11.0,55.0,10.98,93.6
2026-04-15T17:03:00.915460,12.0,37.8,10.98,93.6
2026-04-15T17:03:01.918144,13.0,51.9,10.99,93.7
2026-04-15T17:03:02.920769,14.0,49.5,10.99,93.6
2026-04-15T17:03:03.923827,15.0,47.4,10.98,93.6
2026-04-15T17:03:04.925955,16.0,62.0,10.99,93.6
2026-04-15T17:03:05.929645,17.1,51.2,10.99,93.6
2026-04-15T17:03:06.934034,18.1,60.4,10.98,93.6
2026-04-15T17:03:07.937287,19.1,59.3,10.99,93.7
2026-04-15T17:03:08.940932,20.1,61.2,10.98,93.6
2026-04-15T17:03:09.944331,21.1,55.2,10.98,93.5
2026-04-15T17:03:10.947418,22.1,55.4,10.93,93.2
2026-04-15T17:03:11.951775,23.1,68.1,10.93,93.2
2026-04-15T17:03:12.954947,24.1,57.0,10.94,93.2
2026-04-15T17:03:13.959408,25.1,60.8,10.95,93.3
2026-04-15T17:03:14.962167,26.1,63.2,10.96,93.4
2026-04-15T17:03:15.964541,27.1,53.3,10.96,93.4
2026-04-15T17:03:16.968486,28.1,62.4,10.99,93.6
2026-04-15T17:03:17.973797,29.1,63.7,11.01,93.8
2026-04-15T17:03:18.979970,30.1,60.2,11.01,93.8
2026-04-15T17:03:19.982940,31.1,47.5,10.99,93.7
2026-04-15T17:03:20.984992,32.1,48.2,11.0,93.8
2026-04-15T17:03:21.989488,33.1,50.0,11.0,93.8
2026-04-15T17:03:22.994253,34.1,51.5,11.0,93.8
2026-04-15T17:03:23.997442,35.1,58.2,11.0,93.8
2026-04-15T17:03:25.002389,36.1,56.3,11.0,93.7
2026-04-15T17:03:26.005603,37.1,52.8,10.99,93.7
2026-04-15T17:03:27.009861,38.1,52.3,11.0,93.8
2026-04-15T17:03:28.013736,39.1,57.6,11.01,93.8
2026-04-15T17:03:29.075602,40.2,64.4,11.01,93.8
2026-04-15T17:03:30.099962,41.2,62.7,11.0,93.8
2026-04-15T17:03:31.102973,42.2,56.9,11.0,93.8
2026-04-15T17:03:32.106611,43.2,58.1,11.0,93.8
2026-04-15T17:03:33.111165,44.2,63.6,11.01,93.8
2026-04-15T17:03:34.113908,45.2,62.3,11.0,93.7
2026-04-15T17:03:35.117836,46.2,47.3,11.02,93.9
2026-04-15T17:03:36.123851,47.2,59.6,11.04,94.1
2026-04-15T17:03:37.126784,48.2,75.2,11.04,94.1
2026-04-15T17:03:38.131086,49.3,68.6,11.05,94.2
2026-04-15T17:03:39.133318,50.3,53.1,11.05,94.2
2026-04-15T17:03:40.136194,51.3,61.0,11.04,94.1
2026-04-15T17:03:41.186300,52.3,66.7,11.05,94.2
2026-04-15T17:03:42.189598,53.3,58.8,11.04,94.1
2026-04-15T17:03:43.192269,54.3,57.4,11.04,94.1
2026-04-15T17:03:44.195166,55.3,61.7,11.05,94.2
2026-04-15T17:03:45.199434,56.3,68.1,11.05,94.2
2026-04-15T17:03:46.230855,57.4,67.4,11.04,94.1
2026-04-15T17:03:47.234183,58.4,55.6,11.04,94.1
2026-04-15T17:03:48.237995,59.4,59.1,11.05,94.2
2026-04-15T17:03:49.241332,60.4,54.8,11.05,94.2
