timestamp,elapsed_seconds,cpu_percent,ram_used_gb,ram_percent
2026-04-15T16:00:56.938373,1.0,46.2,10.68,91.0
2026-04-15T16:00:57.939624,2.0,29.1,10.68,91.0
2026-04-15T16:00:58.940348,3.0,21.6,10.68,91.1
2026-04-15T16:00:59.941195,4.0,23.9,10.68,91.1
2026-04-15T16:01:00.942061,5.0,20.0,10.69,91.1
2026-04-15T16:01:01.943032,6.0,17.6,10.69,91.1
2026-04-15T16:01:02.944083,7.0,17.5,10.69,91.1
2026-04-15T16:01:03.945562,8.0,25.1,10.69,91.1
2026-04-15T16:01:04.946947,9.0,21.5,10.7,91.2
2026-04-15T16:01:05.948134,10.0,30.5,10.69,91.1
2026-04-15T16:01:06.949278,11.0,45.6,10.68,91.1
2026-04-15T16:01:07.949807,12.0,30.5,10.69,91.1
2026-04-15T16:01:08.950744,13.0,25.5,10.69,91.1
2026-04-15T16:01:09.951565,14.0,29.8,10.69,91.1
2026-04-15T16:01:10.952234,15.0,26.7,10.69,91.1
2026-04-15T16:01:11.952921,16.0,21.3,10.69,91.1
2026-04-15T16:01:12.954148,17.0,22.4,10.69,91.1
2026-04-15T16:01:13.955236,18.0,27.2,10.7,91.2
2026-04-15T16:01:14.956136,19.0,28.3,10.7,91.2
2026-04-15T16:01:15.957051,20.0,38.2,10.69,91.1
2026-04-15T16:01:16.957762,21.0,26.3,10.67,90.9
2026-04-15T16:01:17.959617,22.0,25.5,10.67,90.9
2026-04-15T16:01:18.960849,23.0,16.8,10.67,91.0
2026-04-15T16:01:19.961851,24.0,20.1,10.67,91.0
2026-04-15T16:01:20.962823,25.0,19.5,10.67,91.0
2026-04-15T16:01:21.963591,26.0,14.0,10.67,91.0
2026-04-15T16:01:22.964398,27.0,18.1,10.68,91.0
2026-04-15T16:01:23.965833,28.0,32.8,10.69,91.1
2026-04-15T16:01:24.966830,29.0,27.5,10.69,91.1
2026-04-15T16:01:25.967808,30.0,16.4,10.67,91.0
2026-04-15T16:01:26.968635,31.0,17.6,10.68,91.0
2026-04-15T16:01:27.969781,32.0,23.3,10.68,91.0
2026-04-15T16:01:28.970685,33.0,22.1,10.68,91.0
2026-04-15T16:01:29.971390,34.0,20.3,10.68,91.0
2026-04-15T16:01:30.972751,35.0,23.0,10.68,91.0
2026-04-15T16:01:31.974034,36.0,37.3,10.67,91.0
2026-04-15T16:01:32.974793,37.0,32.5,10.68,91.0
2026-04-15T16:01:33.975357,38.0,32.8,10.69,91.1
2026-04-15T16:01:34.976064,39.0,18.5,10.69,91.1
2026-04-15T16:01:35.977150,40.0,23.7,10.68,91.0
2026-04-15T16:01:36.977905,41.0,18.4,10.68,91.1
2026-04-15T16:01:37.979334,42.0,25.5,10.69,91.1
2026-04-15T16:01:38.981320,43.0,36.0,10.69,91.1
2026-04-15T16:01:39.982348,44.0,32.3,10.69,91.1
2026-04-15T16:01:40.983247,45.0,19.4,10.69,91.1
2026-04-15T16:01:41.984576,46.0,23.6,10.69,91.1
2026-04-15T16:01:42.987186,47.1,47.2,10.7,91.2
2026-04-15T16:01:43.988952,48.1,49.9,10.76,91.7
